author(s),publisher,keywords,title,publicationYear,publisher_categories
"billups, katharina; chaisson, william p; worsnopp, m; thunell, robert c",pangaea,37 earth sciences; 37 earth sciences; 3705 geology; 3709 physical geography and environmental geoscience,"isotope and water temperature measurements of the atlantic ocean from odp site 172-1056, supplement to: billups, katharina; chaisson, william p; worsnopp, m; thunell, robert c (2004): millennial-scale fluctuations in subtropical northwestern atlantic surface ocean hydrography during the mid-pleistocene. paleoceanography, 19(2), pa2017",2004,geology/environment
"eckert, n.a.; smith, j.m.; lachicotte, r.j.; holland, p.l.",the cambridge structural database,0,ccdc 245484: experimental crystal structure determination,2004,scientific
"chin, r.m.; baird, b.; jarosh, m.; rassman, s.; barry, b.; jones, w.d.",the cambridge structural database,0,ccdc 226453: experimental crystal structure determination,2004,scientific
"he, wei; sun, xiufeng; frontier, a.j.",the cambridge structural database,0,ccdc 225537: experimental crystal structure determination,2004,scientific
"brunkan, n.m.; jones, w.d.",the cambridge structural database,0,ccdc 207395: experimental crystal structure determination,2004,scientific
"oster, s.s.; lachicotte, r.j.; jones, w.d.",the cambridge structural database,0,ccdc 219035: experimental crystal structure determination,2004,scientific
"brunkan, n.m.; brestensky, d.m.; jones, w.d.",the cambridge structural database,0,ccdc 235261: experimental crystal structure determination,2004,scientific
"wang, quan-ming; lee, young-a.; crespo, o.; deaton, j.; tang, ching; gysling, h.j.; gimeno, m.c.; larraz, c.; villacampa, m.d.; laguna, a.; eisenberg, r.",the cambridge structural database,0,ccdc 248080: experimental crystal structure determination,2004,scientific
"vela, j.; stoian, s.; flaschenriem, c.j.; munck, e.; holland, p.l.",the cambridge structural database,0,ccdc 238081: experimental crystal structure determination,2004,scientific
"rajeswaran, m.; blanton, t.n.; klubek, k.p.",the cambridge structural database,0,ccdc 233679: experimental crystal structure determination,2004,scientific
"magomedov, n.a.; ruggiero, p.l.; tang, y.",the cambridge structural database,0,ccdc 232725: experimental crystal structure determination,2004,scientific
"smith, j.m.; lachicotte, r.j.; holland, p.l.",the cambridge structural database,0,ccdc 228574: experimental crystal structure determination,2004,scientific
jeremy m. smith; rene j. lachicotte; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,nn bond cleavage by a low-coordinate iron(ii) hydride complex,2003,scientific
wei he; xiufeng sun; alison j. frontier,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,polarizing the nazarov cyclization:  efficient catalysis under mild conditions,2003,scientific
robert m. chin; benjamin baird; michael jarosh; shane rassman; brian barry; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis, characterization, and reactivity of a
rhenium complex with a corannulene-based ligand",2003,scientific
nabi a. magomedov,american chemical society,34 chemical sciences; 34 chemical sciences; 3405 organic chemistry,"efficient construction of
cyclopenta<i>b</i>quinoline core of
isoschizozygane alkaloids via
intramolecular formal
hetero-diels−alder reaction",2003,scientific
young-a lee; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"luminescence tribochromism and bright emission in gold(i) thiouracilate
complexes",2003,scientific
thaddeus j. wadas; rene j. lachicotte; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis and characterization of platinum diimine bis(acetylide)
complexes containing easily derivatizable aryl acetylide ligands",2003,scientific
brent m. znosko; thomas w. barnes; thomas r. krugh; douglas h. turner,american chemical society,34 chemical sciences; 34 chemical sciences; 3406 physical chemistry,"nmr studies of dna single strands and dna:rna hybrids
with and without 1-propynylation at c5 of oligopyrimidines<sup>‡</sup><sup>,</sup><sup>#</sup>",2003,scientific
nathan a. eckert; emily m. bones; rene j. lachicotte; patrick l. holland,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,nickel complexes of a bulky β-diketiminate ligand,2003,scientific
"tarduno, john a; duncan, robert a; scholl, david w; cottrell, rory d; steinberger, bernhard; thordarson, thorvaldur; kerr, bryan c; neal, clive r; frey, frederick a; torii, masayuki; carvallo, claire",pangaea,37 earth sciences; 37 earth sciences; 3703 geochemistry; 3705 geology; 3706 geophysics,"(table s1) age determination of emperor seamounts basement, supplement to: tarduno, john a; duncan, robert a; scholl, david w; cottrell, rory d; steinberger, bernhard; thordarson, thorvaldur; kerr, bryan c; neal, clive r; frey, frederick a; torii, masayuki; carvallo, claire (2003): the emperor seamounts: southward motion of the hawaiian hotspot plume in earths mantle. science, 301(5636), 1064-1069",2003,geology/environment
"grauer, a.d.; rieke, m.j.; quillen, a.c.",strasbourg astronomical data center,0,jks photometry of local universe galaxies,2003,scientific
"magomedov, n.a.",the cambridge structural database,0,ccdc 217039: experimental crystal structure determination,2003,scientific
"lee, y.; eisenberg, r.",the cambridge structural database,0,ccdc 215701: experimental crystal structure determination,2003,scientific
"wadas, t.j.; lachicotte, r.j.; eisenberg, r.",the cambridge structural database,0,ccdc 214018: experimental crystal structure determination,2003,scientific
"eckert, n.a.; bones, e.m.; lachicotte, r.j.; holland, p.l.",the cambridge structural database,0,ccdc 207719: experimental crystal structure determination,2003,scientific
"iverson, c.n.; lachicotte, r.j.; muller, c.; jones, w.d.",the cambridge structural database,0,ccdc 200490: experimental crystal structure determination,2003,scientific
"holland, p.l.; cundari, t.r.; perez, l.l.; eckert, n.a.; lachicotte, r.j.",the cambridge structural database,0,ccdc 201664: experimental crystal structure determination,2003,scientific
"kraft, b.m.; jones, w.d.",the cambridge structural database,0,ccdc 184938: experimental crystal structure determination,2003,scientific
"vela, j.; smith, j.m.; lachicotte, r.j.; holland, p.l.",the cambridge structural database,0,ccdc 194487: experimental crystal structure determination,2003,scientific
"lee, young-a; mcgarrah, j.e.; lachiotte, r.j.; eisenberg, r.",the cambridge structural database,0,ccdc 196289: experimental crystal structure determination,2003,scientific
patrick l. holland; thomas r. cundari; lanyn l. perez; nathan a. eckert; rene j. lachicotte,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"electronically unsaturated three-coordinate chloride and
methyl complexes of iron, cobalt, and nickel",2002,scientific
carl n. iverson; rene j. lachicotte; christian müller; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry,"η<sup>2</sup>-coordination and c−h activation of electron-poor
arenes",2002,scientific
young-a lee; james e. mcgarrah; rene j. lachicotte; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"multiple emissions and brilliant white luminescence from gold(i)
<i>o,o</i><i>‘</i><i>-</i>di(alkyl)dithiophosphate dimers",2002,scientific
dawn c. bregel; susan m. oldham; rene j. lachicotte; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"a new tantalum dinitrogen complex and a parahydrogen-induced
polarization study of its reaction with hydrogen",2002,scientific
robert m. chin; michael s. jarosh; jason d. russell; rene j. lachicotte,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"synthesis and characterization of a zirconium complex
containing a corannulene-based ligand",2002,scientific
christian müller; rene j. lachicotte; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"chelating p,n versus p,p ligands:  differing reactivity
of donor-stabilized pt(η<sup>2</sup>-phc⋮cph) complexes toward
diphenylacetylene",2002,scientific
bradley m. kraft; rene j. lachicotte; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"formation of tetrafluorobenzyne by β-fluoride
elimination in zirconium-perfluorophenyl complexes",2002,scientific
"bregel, d.c.; oldham, s.m.; lachicotte, r.j.; eisenberg, r.",the cambridge structural database,0,ccdc 193276: experimental crystal structure determination,2002,scientific
"eskridge, p.b.; frogel, j.a.; pogge, r.w.; quillen, a.c.; berlind, a.a.; davies, r.l.; depoy, d.l.; gilbert, k.m.; houdashelt, m.l.; kuchinski, l.e.; ramirez, s.v.; sellgren, k.; stutz, a.; terndrup, d.m.; tiede, g.p.",strasbourg astronomical data center,0,morphology of spiral galaxies,2002,scientific
"kende, a.s.; hernando, j.i.m.; milbank, j.b.j.",the cambridge structural database,0,ccdc 171378: experimental crystal structure determination,2002,scientific
"muller, c.; lachicotte, r.j.; jones, w.d.",the cambridge structural database,0,ccdc 183262: experimental crystal structure determination,2002,scientific
"calter, m.a.; zhu, cheng",the cambridge structural database,0,ccdc 182073: experimental crystal structure determination,2002,scientific
"calter, m.a.; zhu, cheng; lachicotte, r.j.",the cambridge structural database,0,ccdc 182049: experimental crystal structure determination,2002,scientific
"kraft, b.m.; lachicotte, r.j.; jones, w.d.",the cambridge structural database,0,ccdc 180961: experimental crystal structure determination,2002,scientific
"iverson, c.n.; jones, w.d.",the cambridge structural database,0,ccdc 178793: experimental crystal structure determination,2002,scientific
carl n. iverson; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry; 3405 organic chemistry; 3407 theoretical and computational chemistry,"rhodium-catalyzed activation and functionalization of
the c−c bond of biphenylene",2001,scientific
todd o. northcutt; douglas d. wick; andrew j. vetter; william d. jones,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"investigation of the mechanism of alkane reductive elimination and
skeletal isomerization in tp‘rh(cnneopentyl)(r)h complexes:  the
role of alkane complexes",2001,scientific
sonia huertas; muriel hissler; james e. mcgarrah; rene j. lachicotte; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"syntheses and structural characterization of luminescent platinum(ii) complexes
containing di-<i>tert</i>-butylbipyridine and new 1,1-dithiolate ligands",2001,scientific
"northcutt, t.o.; wick, d.d.; vetter, a.j.; jones, w.d.",the cambridge structural database,0,ccdc 169650: experimental crystal structure determination,2001,scientific
"pozzo, j.-l.; desvergne, j.-p.; clavier, g.m.; bouas-laurent, h.; jones, p.g.; perlstein, j.",the cambridge structural database,0,ccdc 159335: experimental crystal structure determination,2001,scientific
"huertas, s.; hissler, m.; mcgarrah, j.e.; lachicotte, r.j.; eisenberg, r.",the cambridge structural database,0,ccdc 161531: experimental crystal structure determination,2001,scientific
"hao, leijun; mansour, m.a.; lachicotte, r.j.; gysling, h.j.; eisenberg, r.",the cambridge structural database,0,ccdc 156339: experimental crystal structure determination,2001,scientific
leijun hao; m. adnan mansour; rene j. lachicotte; henry j. gysling; richard eisenberg,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"a gold(i) mononuclear complex and its association into binuclear and cluster
compounds by hydrogen bonding or metal ion coordination",2000,scientific
"selmeczy, a.d.; jones, w.d.",the cambridge structural database,0,ccdc 148505: experimental crystal structure determination,2000,scientific
andrew s. kende; terrence l. smalley; he huang,american chemical society,0,total synthesis of (±)-isostemofoline,1999,scientific
william d. jones; r. martin chin; christine l. hoaglin,american chemical society,34 chemical sciences; 34 chemical sciences; 3402 inorganic chemistry,"cleavage of the carbon−sulfur bonds in thiophenes by
a binuclear ruthenium complex",1999,scientific
